City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Esil,KZ,2021-09-15 02:12:00,51.9556,66.4042,58.69,32,95,14.29,overcast clouds
60,Bambous Virieux,MU,2021-09-15 02:12:01,-20.3428,57.7575,68.22,81,15,10.63,few clouds
61,Pevek,RU,2021-09-15 02:12:01,69.7008,170.3133,33.35,83,100,4.85,overcast clouds
62,Isangel,VU,2021-09-15 02:12:01,-19.55,169.2667,80.78,66,0,10.96,clear sky
63,Tiarei,PF,2021-09-15 02:12:02,-17.5333,-149.3333,84.22,71,2,18.14,clear sky
64,Jizan,SA,2021-09-15 02:12:02,17.3333,42.6667,86.74,73,10,5.64,clear sky
65,Hermanus,ZA,2021-09-15 02:12:02,-34.4187,19.2345,52.9,62,100,8.25,overcast clouds
66,Atuona,PF,2021-09-15 02:10:33,-9.8,-139.0333,78.24,71,0,20.47,clear sky
67,Leningradskiy,RU,2021-09-15 02:12:03,69.3833,178.4167,31.62,87,99,13.38,overcast clouds
68,San Carlos De Bariloche,AR,2021-09-15 02:12:03,-41.1456,-71.3082,40.75,70,40,23.02,moderate rain
69,Bethel,US,2021-09-15 02:12:03,41.3712,-73.414,70.65,87,1,5.75,clear sky
70,Fray Bentos,UY,2021-09-15 02:12:03,-33.1325,-58.2956,47.39,65,0,7.07,clear sky
71,Georgetown,MY,2021-09-15 02:11:33,5.4112,100.3354,82.33,77,20,0.0,few clouds
72,Puerto Ayora,EC,2021-09-15 02:09:09,-0.7393,-90.3518,67.55,94,32,3.0,scattered clouds
73,Cetraro,IT,2021-09-15 02:12:04,39.5166,15.9416,65.25,87,37,4.45,scattered clouds
74,Ribeira Grande,PT,2021-09-15 02:12:04,38.5167,-28.7,69.33,75,9,6.69,clear sky
75,Punta Arenas,CL,2021-09-15 02:12:04,-53.15,-70.9167,32.11,93,0,17.27,clear sky
76,Sirur,IN,2021-09-15 02:12:05,18.8333,74.3833,73.04,86,99,11.41,overcast clouds
77,Kaitangata,NZ,2021-09-15 02:12:05,-46.2817,169.8464,52.39,47,8,5.79,clear sky
78,Constitucion,CL,2021-09-15 02:12:05,-35.3333,-72.4167,47.52,73,1,10.07,clear sky
79,Kobryn,BY,2021-09-15 02:12:05,52.2138,24.3564,53.29,88,87,3.2,overcast clouds
80,Kalcheva,UA,2021-09-15 02:12:06,45.7374,28.8141,64.22,59,53,7.81,broken clouds
81,San Patricio,US,2021-09-15 02:12:06,28.017,-97.5169,86.09,65,84,10.89,broken clouds
82,Kungurtug,RU,2021-09-15 02:12:06,50.5994,97.5228,50.45,47,17,0.98,few clouds
83,Buala,SB,2021-09-15 02:12:07,-8.145,159.5921,85.21,67,100,9.37,light rain
84,Nisia Floresta,BR,2021-09-15 02:12:07,-6.0911,-35.2086,77.81,91,1,8.1,clear sky
85,Maniitsoq,GL,2021-09-15 02:12:07,65.4167,-52.9,35.06,59,2,9.33,clear sky
86,Severo-Kurilsk,RU,2021-09-15 02:12:07,50.6789,156.125,52.18,81,50,11.52,light rain
87,Pisco,PE,2021-09-15 02:07:18,-13.7,-76.2167,60.85,82,20,1.14,few clouds
88,Yelizovo,RU,2021-09-15 02:12:08,53.1873,158.3805,59.14,44,0,6.71,clear sky
89,Kashi,CN,2021-09-15 02:12:08,39.4547,75.9797,71.92,35,89,3.4,overcast clouds
90,Vorobyevka,RU,2021-09-15 02:12:08,50.6451,40.9245,55.99,52,100,10.09,overcast clouds
91,Khatanga,RU,2021-09-15 02:12:09,71.9667,102.5,41.9,85,68,3.83,broken clouds
92,Awjilah,LY,2021-09-15 02:12:09,29.1081,21.2869,73.42,47,0,9.1,clear sky
93,Klyuchi,RU,2021-09-15 02:12:09,52.2667,79.1667,57.02,43,3,8.75,clear sky
94,Vila,PT,2021-09-15 02:12:10,42.0304,-8.1588,55.33,94,99,2.51,overcast clouds
95,Burnie,AU,2021-09-15 02:12:10,-41.0667,145.9167,52.72,60,15,5.12,few clouds
96,Siverek,TR,2021-09-15 02:12:10,37.755,39.3167,68.61,52,0,4.14,clear sky
97,Tasiilaq,GL,2021-09-15 02:12:10,65.6145,-37.6368,41.16,68,100,2.33,overcast clouds
98,Mackay,AU,2021-09-15 02:12:11,-21.15,149.2,75.04,43,7,14.09,clear sky
99,Bonavista,CA,2021-09-15 02:12:11,48.6499,-53.1147,50.11,76,41,24.25,scattered clouds
100,Mahon,ES,2021-09-15 02:12:11,39.8885,4.2658,82.96,61,40,17.27,scattered clouds
101,Cape Town,ZA,2021-09-15 02:12:03,-33.9258,18.4232,53.11,68,59,9.44,broken clouds
102,Busselton,AU,2021-09-15 02:12:12,-33.65,115.3333,63.05,74,98,14.34,overcast clouds
103,Cabo San Lucas,MX,2021-09-15 02:10:04,22.8909,-109.9124,85.3,80,1,1.99,clear sky
104,Yellowknife,CA,2021-09-15 02:09:01,62.456,-114.3525,50.52,100,90,10.36,overcast clouds
105,Avarua,CK,2021-09-15 02:12:12,-21.2078,-159.775,77.05,78,75,13.8,light rain
106,Sitka,US,2021-09-15 02:11:46,57.0531,-135.33,51.69,82,90,6.91,light rain
107,Kvitok,RU,2021-09-15 02:12:12,56.0724,98.4813,43.86,73,48,10.18,scattered clouds
108,Jamestown,US,2021-09-15 02:12:13,42.097,-79.2353,76.59,79,1,7.0,clear sky
109,Praia Da Vitoria,PT,2021-09-15 02:12:13,38.7333,-27.0667,67.75,81,50,5.14,scattered clouds
110,Arraial Do Cabo,BR,2021-09-15 02:12:13,-22.9661,-42.0278,72.43,90,60,21.79,broken clouds
111,Lingao,CN,2021-09-15 02:12:14,19.9103,109.6859,86.49,68,96,3.47,overcast clouds
112,Juneau,US,2021-09-15 02:10:00,58.3019,-134.4197,51.85,95,90,12.66,moderate rain
113,Sidrolandia,BR,2021-09-15 02:12:14,-20.9319,-54.9614,77.79,56,99,5.46,overcast clouds
114,Marzuq,YE,2021-09-15 02:12:14,14.4,46.4667,83.37,36,96,2.04,overcast clouds
115,Bowen,AU,2021-09-15 02:12:14,-20.0167,148.2333,75.52,33,99,12.8,overcast clouds
116,Narsaq,GL,2021-09-15 02:12:15,60.9167,-46.05,35.82,61,9,4.76,clear sky
117,Riyadh,SA,2021-09-15 02:12:15,24.6877,46.7219,78.94,21,100,10.98,overcast clouds
118,Ambatondrazaka,MG,2021-09-15 02:12:15,-17.8333,48.4167,60.64,78,89,5.59,overcast clouds
119,Nikolskoye,RU,2021-09-15 02:12:16,59.7035,30.7861,46.29,83,10,8.3,clear sky
120,Naze,JP,2021-09-15 02:12:16,28.3667,129.4833,82.35,76,99,16.35,overcast clouds
