City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Cockburn Town,TC,82.67,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
249,Yulara,AU,84.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
250,Winslow,US,83.97,few clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
259,Bambanglipuro,ID,81.34,overcast clouds,-7.95,110.2833,Puri Brata
265,Weligama,LK,80.33,overcast clouds,5.9667,80.4167,Weligama Bay Resort
266,Matara,LK,80.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
268,Mecca,SA,83.61,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
270,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
271,Corralillo,CU,77.74,overcast clouds,22.9819,-80.5856,Hostal De Pedri
272,Tucurui,BR,76.84,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
274,Xiangxiang,CN,84.29,clear sky,27.7333,112.5333,Huatai International Hotel
275,Bend,US,77.47,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
277,Airai,TL,76.89,broken clouds,-8.9266,125.4092,Juvinal Martin
278,Honiara,SB,85.73,overcast clouds,-9.4333,159.95,Heritage Park Hotel
280,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
282,Port Blair,IN,80.64,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
288,Karangampel,ID,82.42,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
297,Long,TH,78.75,overcast clouds,18.0761,99.8326,Nopphakoe Homestay
298,Kavaratti,IN,81.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
300,Labuhan,ID,85.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
304,Makasar,ID,84.25,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
305,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
308,Necocli,CO,76.98,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
313,San Fernando,PH,89.15,few clouds,15.0286,120.6898,Maharlika Hostel
320,Aswan,EG,86.11,clear sky,24.0934,32.907,Nuba Nile
321,Ukiah,US,89.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
335,Champerico,GT,82.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
339,Terra Santa,BR,81.72,scattered clouds,-2.1042,-56.4869,Hotel Sarah
343,Avera,US,75.7,overcast clouds,33.194,-82.5271,
345,Noumea,NC,85.98,clear sky,-22.2763,166.4572,Hôtel Le Lagon
347,Salinopolis,BR,78.13,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
351,Russell,US,78.4,overcast clouds,32.3502,-85.1999,Macs
353,Uruacu,BR,81.75,few clouds,-14.5247,-49.1408,Cassius Hotel
361,Esna,EG,85.75,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
363,Kiunga,PG,86.63,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
368,Teknaf,BD,79.57,overcast clouds,20.8624,92.3058,Forestry Guesthouse
369,Parsons,US,80.71,broken clouds,37.3403,-95.2611,Parsons Inn
373,Miragoane,HT,81.97,few clouds,18.4423,-73.0876,MMM K-TICHON
375,Benghazi,LY,78.12,few clouds,32.1167,20.0667,Tibesti Hotel
377,Humaita,BR,80.1,clear sky,-7.5061,-63.0208,Corrêa Hotel
379,Okmulgee,US,83.12,scattered clouds,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
383,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
384,Jhajjar,IN,86.32,clear sky,28.6063,76.6565,Sainik Rest House
385,Kitaibaraki,JP,79.9,broken clouds,36.7833,140.75,Isohara Seaside Hotel
390,Gizo,SB,82.27,light rain,-8.103,156.8419,Imagination Island
391,Nouakchott,MR,89.53,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
393,Kieta,PG,77.18,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
394,Pyapon,MM,76.8,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
395,Myanaung,MM,80.15,overcast clouds,18.2833,95.3167,Taung Hlay Khar
396,Bathsheba,BB,82.42,clear sky,13.2167,-59.5167,Atlantis Hotel
400,Tura,IN,78.73,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
401,Kulhudhuffushi,MV,83.21,broken clouds,6.6221,73.07,Hondaafushi Island Resort
402,Harper,LR,76.68,moderate rain,4.375,-7.7169,Screensaver
404,Price,US,75.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
406,Alyangula,AU,84.9,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
410,Palembang,ID,82.49,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
420,Hasaki,JP,79.02,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
421,Qui Nhon,VN,84.99,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
425,Carmen,MX,86.04,clear sky,18.6333,-91.8333,Hotel Lossandes
426,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
427,Awbari,LY,75.09,clear sky,26.5921,12.7805,فندق أوباري
432,Edd,ER,88.97,few clouds,13.9297,41.6925,
439,Banda Aceh,ID,82.38,overcast clouds,5.5577,95.3222,Sulthan Hotel International
441,Jega,NG,75.34,moderate rain,12.2175,4.3792,ALH. Nasiru Ibrahim
443,Bilma,NE,89.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
449,Hopkinsville,US,76.55,overcast clouds,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
451,Shingu,JP,75.9,overcast clouds,33.7333,135.9833,Shingu UI Hotel
452,Mogadishu,SO,77.22,overcast clouds,2.0371,45.3438,Hotel Juba
457,Karratha,AU,77.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
462,Cabo Rojo,PR,83.73,broken clouds,18.0866,-67.1457,Hotel Perichi's
463,Portland,US,79.61,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
465,Pong,TH,77.34,overcast clouds,19.1493,100.2752,999 Hotel
467,Mareeba,AU,79.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
470,Gamba,GA,75.56,light rain,-2.65,10.0,
472,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
473,Conakry,GN,79.16,light rain,9.538,-13.6773,Riviera Royal Hotel
478,Hongjiang,CN,85.53,broken clouds,27.11,109.9956,洪江大酒店
482,Malhargarh,IN,76.44,clear sky,24.2833,74.9833,गरीब नवाज ट्रेक्टर गेरेज़
486,Codajas,BR,77.56,scattered clouds,-3.8367,-62.0569,Hotel Tucunaré
487,Hirara,JP,83.52,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
490,Marabba,SD,76.42,overcast clouds,12.35,32.1833,
495,Hopelchen,MX,81.68,broken clouds,19.7667,-89.85,Hotel Jaguar
496,Kloulklubed,PW,83.48,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
498,Paredon,MX,80.56,scattered clouds,16.0333,-93.8667,Hotel Principal Paredon
499,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
500,Huilong,CN,81.03,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
501,Winnemucca,US,78.85,clear sky,40.973,-117.7357,Winners Inn Casino
509,Lahij,YE,86.94,broken clouds,13.1667,44.5833,
510,Shaoyang,CN,83.97,scattered clouds,27.2315,111.4525,IU Hotel Shaoyang Xihu Road
513,Greensboro,US,75.97,clear sky,36.0726,-79.792,Marriott Greensboro Downtown
514,Kefamenanu,ID,88.14,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
516,Sa Kaeo,TH,77.2,moderate rain,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
517,Thiruvananthapuram,IN,80.58,haze,8.4833,76.9167,Hotel Residency Tower
518,Tomatlan,MX,75.18,overcast clouds,19.9333,-105.25,El Salvial
520,Kandrian,PG,84.83,broken clouds,-6.2167,149.55,Kandrian Station
523,Kidal,ML,86.25,broken clouds,18.4411,1.4078,
524,Ocos,GT,82.31,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
529,Odweyne,SO,75.81,overcast clouds,9.4092,45.064,Eng Hiirey House
530,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
543,Kasangulu,CD,75.63,clear sky,-4.5911,15.1708,Hôtel le Relais
544,Uribia,CO,85.96,broken clouds,11.7139,-72.266,Hotel Uribia
545,Morant Bay,JM,78.62,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
549,Mayo,US,80.91,clear sky,38.8876,-76.5119,Resorts Resource Group International
550,Oum Hadjer,TD,77.16,overcast clouds,13.2954,19.6966,
554,Kavieng,PG,82.15,moderate rain,-2.5744,150.7967,Nusa Island Retreat
559,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
560,Harrisonburg,US,75.09,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
565,Manokwari,ID,83.68,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
569,Along,IN,80.96,scattered clouds,28.1667,94.7667,Hotel West
574,Rosetta,EG,75.49,clear sky,31.4044,30.4164,Green Valley
578,Kuala Terengganu,MY,79.27,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
580,Porto Walter,BR,79.81,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
587,Libreville,GA,78.82,light rain,0.3925,9.4537,Hotel Re-Ndama
589,Parauna,BR,80.13,broken clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
594,Itupiranga,BR,79.68,broken clouds,-5.1347,-49.3267,Hotel Panorama
601,Katubao,PH,83.34,overcast clouds,5.8892,124.8294,IML Ecopark
606,Wanning,CN,85.24,overcast clouds,18.8003,110.3967,Paradise Hotel
613,Tulagi,SB,82.38,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
614,Matamoros,MX,89.71,broken clouds,25.5333,-103.25,Quinta Belem
619,Bubaque,GW,80.42,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
625,Poum,NC,75.33,few clouds,-20.2333,164.0167,Gîte kajeon
631,Kifri,IQ,80.92,clear sky,34.6959,44.9661,میزان کفری
637,Claremore,US,83.37,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
638,Marsa Matruh,EG,75.36,clear sky,31.3525,27.2453,Beau Site
642,Boffa,GN,75.79,light rain,10.1667,-14.0333,Hôtel Niara Belly
646,Bandarbeyla,SO,78.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
648,Point Fortin,TT,82.15,clear sky,10.1833,-61.6833,Jus Les' Suites
651,Caraballeda,VE,78.87,broken clouds,10.6112,-66.8522,Hotel 15 Letras
